Source,Target,Weight
Post Office,Michael Rudkin,1
Post Office,CRR,1
Post Office,Ian,2
Post Office,Al Cameron,1
Post Office,Cameron,1
Post Office,Kay Lynell,1
Post Office,MPs,1
Post Office,Treasury,4
Post Office,Oliver Letwin,1
Post Office,Jason Coyne's,1
Post Office,Julie Walstenholme,1
Post Office,BDO Stoy Heywood,1
Post Office,Lee Castleton,1
Post Office,PinICL,1
Post Office,John Scott's,1
Post Office,the Post Office Investigation Department,1
Post Office,Investigations Department,1
Post Office,Belinda Crowe,2
Post Office,Chris O'Yard,1
Post Office,General Counsel,1
Post Office,Mr Jenkins,1
Post Office,Paula Venles,1
Post Office,Angela Vanden Bogart,1
Post Office,Chris Oyarb,1
Post Office,Patrick Baulk,1
Post Office,Jones,1
Post Office,Mrs Jeremiah,1
Post Office,National Savings Investments,1
Post Office,Steen,1
Post Office,Post,1
Post Office,Bank of Ireland,1
Post Office,Fed,1
Post Office,the Forward Money Changer,1
Post Office,Escher,2
Post Office,Riposte,2
Post Office,ICO,1
Post Office,Oracle,1
Post Office,Project Impact,1
Post Office,Jeremy Folkes,1
Post Office,the Infrastructure Assurance Team,1
Post Office,Jeremy,1
Post Office,the Benefits Agency,1
Post Office,the Post Office Counters Limited,1
Post Office,DSS,1
Post Office,ITL Management,1
Post Office,ICL,1
Post Office,EPOSS,1
Post Office,the Customer Services Directorate,1
Post Office,CBDB,1
Post Office,SAP,1
Post Office,Phil Boardman,1
Post Office,Castleton,3
Post Office,the Marine Drive Post Office,1
Post Office,Richard Benton,1
Post Office,the Civil Procedure Rules,1
Post Office,Stephen Dilley,1
Post Office,Stephen up re,1
Post Office,Hosey,1
Post Office,Misra,1
Post Office,Penny,3
Post Office,Jane Owen,1
Post Office,David Jones,1
Post Office,Mrs Misra's,1
Microsoft Exchange,Phase 4,1
Gareth Jenkins,Mr Longman,1
Gareth Jenkins,Simon,1
Gareth Jenkins,the Simon Clarke Review,1
Gareth Jenkins,CCRC,1
Gareth Jenkins,Bon Dickinson,1
Gareth Jenkins,Cartwright King,1
Gareth Jenkins,Simon King,1
Gareth Jenkins,Ian Henderson,1
Gareth Jenkins,Beer,1
Gareth Jenkins,Alan Ward,1
Gareth Jenkins,Gareth,1
Gareth Jenkins,Graham,1
Gareth Jenkins,Pinder,2
Gareth Jenkins,Brian Pinder,2
Gareth Jenkins,Greg,1
Gareth Jenkins,Dilley,1
Gareth Jenkins,First Draft Statement,1
Deloitte,Ernst Young,1
Deloitte,Horizon,3
Deloitte,KPMG,2
Deloitte,Second Sight,7
Deloitte,Alice,1
Deloitte,Ron,1
Deloitte,Vennells,1
Deloitte,audit,2
Deloitte,Project Spire,2
Deloitte,Alice Perkins,1
Deloitte,Alwen Lyons,1
Deloitte,Simon Baker,1
Deloitte,Susan Crichton,1
Deloitte,the system,1
Ernst Young,Horizon,1
Ernst Young,KPMG,1
Horizon,KPMG,1
Horizon,Crystal Reports,1
Horizon,bug,32
Horizon,error,25
Horizon,shortfall,8
Horizon,Post Office Network,1
Horizon,the Federation of Subpostmasters,1
Horizon,suspense account,5
Horizon,Post Office Counters,1
Horizon,Horizon Cash,1
Horizon,FAD,1
Horizon,Dave Smith,1
Horizon,Horizon Integrity,1
Horizon,NBSC,1
Horizon,the system,5
Horizon,Alan Bates,2
Horizon,Federation,1
Horizon,Crown,1
Horizon,Alice,1
Horizon,Ron,1
Horizon,Vennells,3
Horizon,audit,4
Horizon,Project Spy,1
Horizon,the Court of Appeal,1
Horizon,Second Sight,9
Horizon,defect,23
Horizon,Board,1
Horizon,Isaac Perkins,1
Horizon,Lesley Sewell,2
Horizon,Horizon Online,25
Horizon,Mrs Misra's,1
Horizon,Legacy Horizon,16
Horizon,CCRC,1
Horizon,Horizon Computer Systems,1
Horizon,Commission,1
Horizon,Magistrates' Court,1
Horizon,Falkirk,1
Horizon,mismatch,3
Horizon,Alwen Lyons,2
Horizon,Fujitsu,8
Horizon,Ian Henderson,1
Horizon,MPs,1
Horizon,Ian,1
Horizon,Bank of Ireland,1
Horizon,Fed,1
Horizon,Bureau de Change,1
Horizon,Fraser,1
Horizon,Riposte,1
Horizon,SSC,1
Horizon,PEAK,2
Horizon,PinICL,1
Horizon,Del Mellington's,1
Horizon,EPOSS,3
Horizon,David MacDonald,1
Horizon,Paragraphs 45,1
Horizon,Project Impact,1
Horizon,Marine Drive,1
Horizon,Correct,1
Horizon,AP,1
Horizon,Dave Baldwin,1
Horizon,Saying,1
Horizon,Castleton,1
Alice Perkins,Alwen Lyons,3
Alice Perkins,Angela Vandenbergard,1
Alice Perkins,Mark Davis,1
Alice Perkins,Paula Venells,1
